,cv_name,validation_score,train_size,dim,noise_corr,sep,score_error,score_sem
0,loo,0.75525,100.0,300.0,0.0,3.0,-0.00525,0.0433012701892
1,50 splits,0.75525,100.0,300.0,0.0,3.0,-0.02825,0.0232038789861
0,loo,0.75525,100.0,300.0,0.0,3.0,-0.02525,0.0443959457608
1,50 splits,0.75525,100.0,300.0,0.0,3.0,-0.01325,0.0156435290136
0,loo,0.75525,100.0,300.0,0.0,3.0,-0.10525,0.0476969600708
1,50 splits,0.75525,100.0,300.0,0.0,3.0,-0.10125,0.016360929069
0,loo,0.75525,100.0,300.0,0.0,3.0,0.09475,0.0357071421427
1,50 splits,0.75525,100.0,300.0,0.0,3.0,0.09975,0.0133603892159
0,loo,0.75525,100.0,300.0,0.0,3.0,0.04475,0.04
1,50 splits,0.75525,100.0,300.0,0.0,3.0,0.05875,0.0134937022347
0,loo,0.75525,100.0,300.0,0.0,3.0,0.00475,0.0427083130081
1,50 splits,0.75525,100.0,300.0,0.0,3.0,0.03175,0.0169593631956
0,loo,0.75525,100.0,300.0,0.0,3.0,0.07475,0.037563279942
1,50 splits,0.75525,100.0,300.0,0.0,3.0,0.05675,0.016944615664
0,loo,0.75525,100.0,300.0,0.0,3.0,0.00475,0.0427083130081
1,50 splits,0.75525,100.0,300.0,0.0,3.0,0.00775,0.0182104365681
0,loo,0.75525,100.0,300.0,0.0,3.0,-0.06525,0.0462493243194
1,50 splits,0.75525,100.0,300.0,0.0,3.0,-0.05825,0.0160878836396
0,loo,0.75525,100.0,300.0,0.0,3.0,-0.02525,0.0443959457608
1,50 splits,0.75525,100.0,300.0,0.0,3.0,-0.02025,0.00839642781187
0,loo,0.75525,100.0,300.0,0.0,3.0,-0.12525,0.0482804308183
1,50 splits,0.75525,100.0,300.0,0.0,3.0,-0.13725,0.0197868643297
0,loo,0.75525,100.0,300.0,0.0,3.0,-0.06525,0.0462493243194
1,50 splits,0.75525,100.0,300.0,0.0,3.0,-0.05925,0.0166637330752
0,loo,0.75525,100.0,300.0,0.0,3.0,-0.11525,0.048
1,50 splits,0.75525,100.0,300.0,0.0,3.0,-0.10525,0.0172626765016
0,loo,0.75525,100.0,300.0,0.0,3.0,0.04475,0.04
1,50 splits,0.75525,100.0,300.0,0.0,3.0,0.04875,0.011986659251
0,loo,0.75525,100.0,300.0,0.0,3.0,-0.03525,0.0448998886413
1,50 splits,0.75525,100.0,300.0,0.0,3.0,-0.03725,0.0177628826489
0,loo,0.75525,100.0,300.0,0.0,3.0,0.05475,0.0392300904919
1,50 splits,0.75525,100.0,300.0,0.0,3.0,0.06175,0.0108268185539
0,loo,0.75525,100.0,300.0,0.0,3.0,-0.03525,0.0448998886413
1,50 splits,0.75525,100.0,300.0,0.0,3.0,-0.04125,0.0172649934839
0,loo,0.75525,100.0,300.0,0.0,3.0,-0.05525,0.0458257569496
1,50 splits,0.75525,100.0,300.0,0.0,3.0,-0.04025,0.0144395290782
0,loo,0.75525,100.0,300.0,0.0,3.0,-0.00525,0.0433012701892
1,50 splits,0.75525,100.0,300.0,0.0,3.0,-0.00425,0.0160305957469
0,loo,0.75525,100.0,300.0,0.0,3.0,-0.05525,0.0458257569496
1,50 splits,0.75525,100.0,300.0,0.0,3.0,-0.06825,0.0161746715577
0,loo,0.75525,100.0,300.0,0.0,3.0,0.00475,0.0427083130081
